BMP,,,2021,2022,2023,2024,2025
Giai đoạn,,,01/01-31/12,01/01-31/12,01/01-31/12,01/01-31/12,01/01-31/12
Hợp nhất,,,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,,,Kiểm toán,Kiểm toán,Kiểm toán,Kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,KPMG,KPMG,KPMG,KPMG,
Ý kiến kiểm toán,,,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,Chấp nhận toàn phần,
,,,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,,,"4,565","5,825","5,200","4,679","5,602"
2. Các khoản giảm trừ doanh thu,,,12,16,43,63,92
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,,,"4,553","5,808","5,157","4,616","5,510"
4. Giá vốn hàng bán,,,"3,849","4,201","3,041","2,627","2,970"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,,704,"1,608","2,116","1,989","2,540"
6.Doanh thu hoạt động tài chính,,,60,55,119,79,102
7. Chi phí tài chính,,,125,158,146,162,231
Trong đó :Chi phí lãi vay,,,0,0,0,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,2,-5,-2,0,1
9. Chi phí bán hàng,,,281,503,676,556,711
10. Chi phí quản lý doanh nghiệp,,,88,129,107,120,166
11. Lợi nhuận thuần từ hoạt động kinh doanh,,,272,868,"1,304","1,229","1,535"
12. Thu nhập khác,,,2,4,6,12,5
13. Chi phí khác,,,6,1,3,0,1
14. Lợi nhuận khác,,,-4,3,3,12,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế,,,268,871,"1,307","1,241","1,539"
16. Chi phí thuế TNDN hiện hành,,,48,177,272,250,309
17. Chi phí thuế TNDN hoãn lại,,,6,0,-6,0,2
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,,214,694,"1,041",991,"1,229"
Lợi ích của cổ đông thiểu số,,,,,,,
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,,,214,694,"1,041",991,"1,229"
19. Lãi cơ bản trên cổ phiếu (*),,,"2,619","8,481","12,717","12,103","15,010"
20. Lãi suy giảm trên cổ phiếu (*),,,,,,,